,rule,precision,recall
22,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=0.0)]",1.0,0.006493506493506494
23,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Embarked', value=1.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=0.0)]",1.0,0.006535947712418301
24,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='SibSp', value=0.0)]",1.0,0.009868421052631578
25,"[Rule(attribute='Pclass', value=0.0), Rule(attribute='Sex', value=0.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Fare', value=1.0), Rule(attribute='SibSp', value=0.0)]",1.0,0.006644518272425249
26,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=0.0)]",1.0,0.013377926421404682
27,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.010169491525423728
28,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.00684931506849315
29,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.010344827586206896
30,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=2.0)]",1.0,0.006968641114982578
31,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Fare', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=2.0)]",1.0,0.021052631578947368
32,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Parch', value=1.0)]",1.0,0.007168458781362007
33,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Embarked', value=0.0)]",1.0,0.007220216606498195
34,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='SibSp', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007272727272727273
35,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Fare', value=0.0)]",1.0,0.01098901098901099
36,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",1.0,0.007407407407407408
37,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Age', value=2.0)]",1.0,0.007462686567164179
38,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Age', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=0.0)]",1.0,0.007518796992481203
